Kategória: Minden kategória

Hét,NLP: (Világszerte),Text mining: (Világszerte),Text analysis: (Világszerte)
2014-11-09,73,8,14
2014-11-16,72,6,14
2014-11-23,67,6,13
2014-11-30,68,6,15
2014-12-07,68,6,16
2014-12-14,67,7,11
2014-12-21,56,5,6
2014-12-28,61,3,6
2015-01-04,69,5,10
2015-01-11,71,5,11
2015-01-18,69,6,12
2015-01-25,65,6,14
2015-02-01,74,5,13
2015-02-08,69,6,13
2015-02-15,70,6,12
2015-02-22,70,7,16
2015-03-01,75,6,14
2015-03-08,73,8,14
2015-03-15,72,6,16
2015-03-22,72,6,14
2015-03-29,69,5,13
2015-04-05,66,6,12
2015-04-12,69,7,16
2015-04-19,72,9,13
2015-04-26,77,9,13
2015-05-03,76,7,15
2015-05-10,67,7,13
2015-05-17,70,6,12
2015-05-24,71,5,13
2015-05-31,68,6,12
2015-06-07,66,7,12
2015-06-14,69,7,10
2015-06-21,64,6,10
2015-06-28,63,6,8
2015-07-05,68,7,8
2015-07-12,65,6,9
2015-07-19,71,6,8
2015-07-26,64,6,7
2015-08-02,61,6,9
2015-08-09,66,5,8
2015-08-16,73,8,9
2015-08-23,71,5,10
2015-08-30,66,6,11
2015-09-06,65,6,13
2015-09-13,65,6,12
2015-09-20,65,5,14
2015-09-27,65,7,14
2015-10-04,66,8,17
2015-10-11,68,8,15
2015-10-18,69,7,14
2015-10-25,70,7,13
2015-11-01,68,6,16
2015-11-08,67,7,15
2015-11-15,71,8,13
2015-11-22,67,7,13
2015-11-29,63,7,15
2015-12-06,63,8,16
2015-12-13,64,7,12
2015-12-20,56,4,7
2015-12-27,52,4,6
2016-01-03,63,5,10
2016-01-10,64,6,13
2016-01-17,68,6,12
2016-01-24,69,6,15
2016-01-31,67,8,15
2016-02-07,68,7,13
2016-02-14,69,6,14
2016-02-21,68,7,15
2016-02-28,71,6,18
2016-03-06,69,7,13
2016-03-13,68,7,14
2016-03-20,60,7,12
2016-03-27,65,7,13
2016-04-03,67,8,16
2016-04-10,74,7,15
2016-04-17,66,6,15
2016-04-24,64,6,15
2016-05-01,64,7,14
2016-05-08,71,8,15
2016-05-15,86,7,12
2016-05-22,75,7,11
2016-05-29,66,7,9
2016-06-05,68,6,10
2016-06-12,67,6,9
2016-06-19,65,6,9
2016-06-26,62,7,9
2016-07-03,63,7,7
2016-07-10,63,5,7
2016-07-17,62,5,8
2016-07-24,61,6,7
2016-07-31,61,6,7
2016-08-07,63,6,8
2016-08-14,60,4,7
2016-08-21,66,6,10
2016-08-28,62,7,10
2016-09-04,62,6,10
2016-09-11,66,6,15
2016-09-18,67,8,13
2016-09-25,67,7,13
2016-10-02,66,6,14
2016-10-09,74,6,15
2016-10-16,66,7,14
2016-10-23,66,8,14
2016-10-30,69,7,14
2016-11-06,67,7,16
2016-11-13,71,9,17
2016-11-20,70,8,12
2016-11-27,76,8,19
2016-12-04,70,8,17
2016-12-11,66,8,15
2016-12-18,59,6,9
2016-12-25,53,5,7
2017-01-01,63,5,9
2017-01-08,77,5,13
2017-01-15,71,7,13
2017-01-22,69,6,13
2017-01-29,69,6,15
2017-02-05,75,7,14
2017-02-12,73,7,14
2017-02-19,71,8,18
2017-02-26,74,9,16
2017-03-05,74,7,17
2017-03-12,71,8,15
2017-03-19,73,8,16
2017-03-26,72,9,16
2017-04-02,72,8,16
2017-04-09,68,7,13
2017-04-16,76,7,16
2017-04-23,73,8,16
2017-04-30,74,7,13
2017-05-07,75,6,15
2017-05-14,73,7,14
2017-05-21,72,7,11
2017-05-28,65,7,12
2017-06-04,66,6,12
2017-06-11,72,7,12
2017-06-18,74,5,10
2017-06-25,68,6,8
2017-07-02,68,6,8
2017-07-09,67,6,10
2017-07-16,69,6,9
2017-07-23,66,7,9
2017-07-30,67,8,9
2017-08-06,66,6,10
2017-08-13,67,6,9
2017-08-20,68,6,11
2017-08-27,68,7,9
2017-09-03,65,6,11
2017-09-10,70,5,14
2017-09-17,78,8,14
2017-09-24,70,5,14
2017-10-01,67,7,15
2017-10-08,79,8,14
2017-10-15,70,7,15
2017-10-22,77,8,17
2017-10-29,73,7,16
2017-11-05,78,8,17
2017-11-12,78,8,15
2017-11-19,68,8,14
2017-11-26,73,9,17
2017-12-03,75,9,19
2017-12-10,68,8,17
2017-12-17,64,8,12
2017-12-24,59,5,7
2017-12-31,64,4,9
2018-01-07,69,7,13
2018-01-14,75,6,13
2018-01-21,70,8,16
2018-01-28,100,7,15
2018-02-04,83,7,15
2018-02-11,72,8,14
2018-02-18,76,7,14
2018-02-25,79,7,15
2018-03-04,77,7,16
2018-03-11,78,7,15
2018-03-18,76,8,16
2018-03-25,72,8,14
2018-04-01,73,7,14
2018-04-08,82,9,16
2018-04-15,79,9,16
2018-04-22,75,8,17
2018-04-29,70,7,15
2018-05-06,75,6,16
2018-05-13,72,7,13
2018-05-20,77,7,14
2018-05-27,74,7,12
2018-06-03,77,7,13
2018-06-10,71,6,11
2018-06-17,71,6,11
2018-06-24,73,6,11
2018-07-01,67,5,7
2018-07-08,75,6,9
2018-07-15,74,7,8
2018-07-22,74,4,10
2018-07-29,74,5,8
2018-08-05,72,7,10
2018-08-12,70,6,11
2018-08-19,72,5,9
2018-08-26,72,6,11
2018-09-02,78,6,12
2018-09-09,77,7,13
2018-09-16,77,8,15
2018-09-23,76,6,13
2018-09-30,75,6,15
2018-10-07,79,6,16
2018-10-14,81,8,17
2018-10-21,81,7,14
2018-10-28,78,8,13
2018-11-04,82,6,15
2018-11-11,85,6,15
2018-11-18,78,6,11
2018-11-25,77,8,13
2018-12-02,79,8,15
2018-12-09,80,6,15
2018-12-16,72,7,12
2018-12-23,65,4,6
2018-12-30,66,5,7
2019-01-06,82,6,12
2019-01-13,81,4,12
2019-01-20,86,6,13
2019-01-27,80,6,13
2019-02-03,83,6,13
2019-02-10,80,7,13
2019-02-17,90,8,14
2019-02-24,86,6,13
2019-03-03,83,7,14
2019-03-10,84,8,14
2019-03-17,84,7,13
2019-03-24,83,7,14
2019-03-31,87,8,13
2019-04-07,81,7,13
2019-04-14,79,6,13
2019-04-21,78,5,14
2019-04-28,83,7,13
2019-05-05,83,6,13
2019-05-12,87,7,14
2019-05-19,87,7,14
2019-05-26,83,6,10
2019-06-02,76,6,10
2019-06-09,80,5,11
2019-06-16,81,6,13
2019-06-23,81,5,10
2019-06-30,85,6,8
2019-07-07,88,6,8
2019-07-14,86,5,9
2019-07-21,79,5,6
2019-07-28,81,6,8
2019-08-04,78,5,7
2019-08-11,83,5,9
2019-08-18,87,6,10
2019-08-25,85,4,10
2019-09-01,84,6,12
2019-09-08,89,7,13
2019-09-15,92,7,14
2019-09-22,89,7,15
2019-09-29,87,6,15
2019-10-06,87,6,12
2019-10-13,92,7,13
2019-10-20,90,7,15
2019-10-27,82,5,13
2019-11-03,75,5,9
